Graph,Formalisation,Structural accuracy,Consistency,Syntactic validity,Redundancy,Interpretability,Inference,Understandability,Trustworthiness,Provenance,Clustering,Interoperability,Versatility,Licensing,Accessibility,Reusability
crm2tfac_a20language,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,4.0,3.0,1.0,3.1666666666666665,3.0,1.5,1.0,2.0,1.6666666666666667
crm2tfac_a20wrongDT,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,4.0,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_a50language,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,4.0,3.0,1.0,3.1666666666666665,3.0,2.0,1.0,2.0,1.6666666666666667
crm2tfac_a50wrongDT,1.0,5.0,3.7142857142857144,3.0,5.0,3.6,2.8,4.0,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_a90language,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,4.0,3.0,1.0,3.1666666666666665,3.0,3.0,1.0,2.0,1.6666666666666667
crm2tfac_a90wrongDT,1.0,5.0,3.4285714285714284,2.3333333333333335,5.0,3.6,2.8,4.0,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d20descriptions,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,3.75,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d20labels,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,3.875,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d50descriptions,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,3.5,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d50labels,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,3.5,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d90descriptions,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,2.875,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
crm2tfac_d90labels,1.0,5.0,4.0,3.6666666666666665,5.0,3.6,2.8,2.875,3.0,1.0,3.1666666666666665,3.0,1.0,1.0,2.0,1.6666666666666667
